Botanical,Lower,Family,Country,State,District,Collection,Date,latitude,longitude
Justicia neesii,,Acanthaceae,,Karnataka,Chitradurga,KFP 3990,13.11.1978,22.008698,86.418731
Justicia nilgherrensis,,Acanthaceae,,Karnataka,Bijapur,KFP 9289,15.09.1979,12.843781,75.247906
Justicia simplex,,Acanthaceae,,Uttarakhand,Nainital,KSN/KCP-59,Nov. 1986,13.92993,75.568101
Justicia prostrata,,Acanthaceae,,Karnataka,Kodagu,KFP 8469,22.07.1979,12.337494,75.806908
Justicia quinqueangularis,,Acanthaceae,,Rajasthan,Udaipur,4630,27.01.1970,13.006814,76.099552
Justicia santapaui,,Acanthaceae,,Karnataka,Shimoga,KFP 6164,07.03.1979,13.315258,75.775402
Justicia tranquebariensis,,Acanthaceae,,Karnataka,Mysore,KFP 2236,21.08.1978,31.104815,77.173403
Lepidagathis cristata,,Acanthaceae,,Karnataka,Bellary,KFP 5923,20.01.1979,13.315258,75.775402
Lepidagathis fasciculata,,Acanthaceae,,Orissa,Cuttack,DP/RM-6123,19.12.2000,20.462521,85.88299
Lepidagathis incurva,,Acanthaceae,,Orissa,Mayurbhanj,BMS/SM/SSM-1,Dec. 1999,27.481111,94.557285
Lepidagathis spinosa,,Acanthaceae,,Karnataka,Uttara Kannada,KFP 6051,14.02.1979,24.782125,92.85771
Mananthes sumatrana,,Acanthaceae,,Andaman & Nicobar,Nicobar,SES-06-28,10.02.2002,14.793707,74.686882
Nelsonia campestris,,Acanthaceae,,Orissa,Mayurbhanj,BMS/SM/SSM-21,Dec. 1999,22.008698,86.418731
Nilgirianthus ciliatus,,Acanthaceae,,Karnataka,Dakshina Kannada,KFP 4154,13.11.1978,17.329731,76.834296
Nilgirianthus foliosus,,Acanthaceae,,Karnataka,Shimoga,KFP 5159,28.12.1978,14.793707,74.686882
Nilgirianthus heyneanus,,Acanthaceae,,Karnataka,Coorg,KFP 1279,11.06.1978,30.316495,78.032192
Nilgirianthus neilgherrensis,,Acanthaceae,,Karnataka,Hassan,KFP 5485,26.12.1978,31.708166,76.931367
Nilgirianthus urceolaris,,Acanthaceae,,Karnataka,Chikmagalur,KFP 3343,16.10.1978,16.990215,73.312023
Nilgirianthus warreensis,,Acanthaceae,,Karnataka,Kodagu,KFP 3290,11.10.1978,31.104815,77.173403
Pachystachys lutea,,Acanthaceae,,Himachal Pradesh,Shimla,APRG-49/2005,16.10.2005,11.491604,76.733652
Phaulopsis dorsiflora,,Acanthaceae,,Karnataka,Chikmagalur,KFP 4833,03.12.1978,11.703206,76.0834
Phaulopsis longifolia,,Acanthaceae,,Orissa,Cuttack,DP/RM-6103,20.12.2000,12.29581,76.639381
Pleocaulus sessiloides,,Acanthaceae,,Karnataka,Chikmagalur,KFP 4754,01.12.1978,31.957851,77.10946
Phlogacanthus thyrsiflorus,,Acanthaceae,,Assam,Dhemaji,DRLT-37,26.08.2001,30.404105,79.331769
Phlogacanthus tubiflorus,,Acanthaceae,,Assam,Cachar,GD-122,22.01.2000,31.104815,77.173403
Rungia linifolia,,Acanthaceae,,Karnataka,Uttara Kannada,KFP 6043,14.02.1979,29.58286,80.218188
Rungia pectinata,,Acanthaceae,,Orissa,Mayurbhanj,BMS/SM/SSM-15,Dec. 1999,31.957851,77.10946
Rungia repens,,Acanthaceae,,Karnataka,Gulbarga,KFP 10069,27.10.1979,31.104815,77.173403
Staurogyne zeylanica,,Acanthaceae,,Karnataka,Uttara Kannada,KFP 13072,24.06.1981,29.380304,79.463566
Strobilanthes alata,,Acanthaceae,,Uttarakhand,Dehradun,RG,Sept. 1999,14.793707,74.686882
Strobilanthes atropurpurea,,Acanthaceae,,Himachal Pradesh,Mandi,AP-2006,May 2006,15.139393,76.921443
Strobilanthes callosa,,Acanthaceae,,Maharashtra,Ratnagiri,BBJ-172,07.12.2000,16.830171,75.710031
Strobilanthes glutinosa,,Acanthaceae,,Himachal Pradesh,Shimla,,06.01.2006,14.793707,74.686882
Strobilanthes kunthiana,,Acanthaceae,,Tamil Nadu,Nilgiris,RN/06,12.09.2006,28.459497,77.026638
Thunbergia fragrans,,Acanthaceae,,Karnataka,Mysore,KFP 2429,05.09.1978,14.230559,76.398454
Thunbergia mysorensis,,Acanthaceae,,Kerala,Wynad,KCV/SB,22.12.1999,22.837931,74.253146
Xenacanthus pulneyensis,,Acanthaceae,,Karnataka,Mysore,KFP 2490,25.11.1978,13.92993,75.568101
Acer caesium,,Aceraceae,,Himachal Pradesh,Kullu,SHM/08-80,17.07.07,31.514318,75.911483
Acer caudatum,,Aceraceae,,Uttarakhand,Chamoli,KSN/VKD/GK/HYS/LSK-337,Sept. 2000,12.29581,76.639381
Acer oblongum,,Aceraceae,,Himachal Pradesh,Shimla,SHM/07/P/102,08.07.2006,34.152586,77.577053
Acer platanoides,,Aceraceae,,Uttarakhand,Pithoragarh,AP-40/90,07.06.1990,32.246137,78.034916
Acer sterculiaceum,,Aceraceae,,Himachal Pradesh,Kullu,SHM/08-121,14.07.2007,30.404105,79.331769
Actinidia arguta,,Actinidiaceae,,Himachal Pradesh,Shimla,SHM/07/P/53,01.05.2006,31.104815,77.173403
Actinidia chinensis,,Actinidiaceae,,Uttarakhand,Nainital,MGD-54/03,26.07.2003,29.380304,79.463566
Dracaena terniflora,,Agavaceae,,Karnataka,Uttara Kannada,KFP 13205,17.07.1981,29.380304,79.463566
Corbichonia decumbens,,Aizoaceae,,Karnataka,Bellary,KFP 5941,20.01.1979,31.104815,77.173403
Gisekia pharnaceoides,,Aizoaceae,,Karnataka,Bijapur,KFP 9263,14.09.1979,30.404105,79.331769
Glinus oppositifolius,,Aizoaceae,,Karnataka,Uttara Kannada,KFP 13089,25.06.1981,32.246137,78.034916
Mollugo cerviana,,Aizoaceae,,Haryana,Gurgaon,ERN,04.10.2003,29.380304,79.463566
Sesuvium portulacastrum,,Aizoaceae,,Andhra Pradesh,Vishakapatnam ,AVV-726,11.08.2002,29.380304,79.463566
Zaleya decandra,,Aizoaceae,,Karnataka,Chitradurga,KFP 8773,21.08.1979,27.578068,91.875742
Alangium salviifolium,,Alangiaceae,,Madhya Pradesh,Chattarpur,MD-329,06.06.2004,31.650958,78.475195
Alangium salviifolium,,Alangiaceae,,Gujarat,Dahod,MD-848,April 2007,32.246137,78.034916
Alangium salviifolium,,Alangiaceae,,Karnataka,Shimoga,KFP 7424,24.04.1979,34.553852,76.134894
Alisma plantago-aquatica,,Alismataceae,,Punjab,Hoshiarpur,,,31.104815,77.173403
Limnophyton obtusifolium,,Alismataceae,,Karnataka,Mysore,,Feb./Mar. 1979,29.380304,79.463566
Sagittaria sagittifolia,,Alismataceae,,Andhra Pradesh,East Godavari,,,30.404105,79.331769
Allium ascalonicum,,Alliaceae,,Uttarakhand,Nainital,,05.05.1998,31.104815,77.173403
Allium auriculatum,,Alliaceae,,Jammu & Kashmir,Leh ,MGB- 33,30.06.2003,27.6094,75.139911
Allium bakeri,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,,12.08.1984,17.389138,77.836728
Allium bakeri,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,,,17.385044,78.486671
Allium carolinianum,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,SHM/08-129,01.09.2005,25.238122,87.645359
Allium cepa,var. proliferum (Moench) Regel,Alliaceae,,Jammu & Kashmir,Srinagar,BLM,May 2001,12.709449,77.280742
Allium cernuum,,Alliaceae,,Uttarakhand,Chamoli,315,May 1990,24.782125,92.85771
Allium cernuum,,Alliaceae,,Himachal Pradesh,Shimla,AP,April 2005,28.459497,77.026638
Allium chinense,,Alliaceae,,Uttarakhand,Nainital,,04.10.1991,14.793707,74.686882
Allium chinense,,Alliaceae,,Uttarakhand,Nainital,E-3,23.09.2005,16.990215,73.312023
Allium clarkei,,Alliaceae,,Uttarakhand,Nainital,,,32.099803,76.269101
Allium consanguineum,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,SHM/08-127,06.09.2005,11.926147,76.943731
Allium fistulosum,,Alliaceae,,Himachal Pradesh,Shimla,SHM/07/P/75,08.04.2006,13.92993,75.568101
Allium govanianum,,Alliaceae,,Uttarakhand,Chamoli,VJ/Eval./NBPGR/2004,11.06.2004,31.104815,77.173403
Allium grandiflorum,,Alliaceae,,Uttarakhand,Nainital,AP,Sept. 1999,10.527642,76.214435
Allium griffithianum,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,SHM/08-132,06.09.2005,10.527642,76.214435
Allium griffithianum,,Alliaceae,,Uttarakhand,Nainital,AP,Sept. 1999,32.246137,78.034916
Allium hookeri,,Alliaceae,,Uttarakhand,Nainital,E-7,23.09.2005,13.339168,77.113998
Allium humile,,Alliaceae,,Himachal Pradesh,Shimla,SHM/07/P/02,08.09.2006,31.104815,77.173403
Allium jacquemontii,,Alliaceae,,Himachal Pradesh,Kinnaur,SHM/07/P/24,08.09.2006,29.589241,79.646666
Allium jacquemontii,,Alliaceae,,Himachal Pradesh,Kinnaur,SHM/07/P/25,08.09.2006,29.380304,79.463566
Allium lineare,,Alliaceae,,Uttarakhand,Nainital,,05.05.1998,24.782125,92.85771
Allium odorum,,Alliaceae,,Arunachal Pradesh,Tawang,SHM/08/10,26.08.2007,28.459497,77.026638
Allium przewalskianum,,Alliaceae,,Himachal Pradesh,Kinnaur,SHM/08-124,15.09.2007,27.17667,78.008075
Allium rubellum,,Alliaceae,,Himachal Pradesh,Lahaul & Spiti,BSI NC 45936,13.06.1988,10.78673,76.654793
Allium sativum,,Alliaceae,,Jammu & Kashmir,Kargil,A-1465,28.08.1987,22.008698,86.418731
Allium schoenoprasum,,Alliaceae,,Himachal Pradesh,Shimla,SHM/07/P/99,09.09.2006,31.104815,77.173403
Allium scorodoprasum,,Alliaceae,,Uttarakhand,Nainital,AP,Sept. 1999,31.104815,77.173403
Allium stracheyi,,Alliaceae,,Uttarakhand,Chamoli,N-135,Oct. 1986,16.990215,73.312023
